Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,87A5DF7AF7,Escola IPSI,Escola IPSI,Nivell A,Dijous,Casa,1,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-1,Descans 1,Descans,Descans,,,2,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-2,Descans 2,Descans,Descans,,,3,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-3,Descans 3,Descans,Descans,,,4,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-4,Descans 4,Descans,Descans,,,5,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-5,Descans 5,Descans,Descans,,,6,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-6,Descans 6,Descans,Descans,,,7,[]
HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,G1,DUMMY-7,Descans 7,Descans,Descans,,,8,[]
