Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,4E0D464A1B,"Esportiu Maristes Sant Joan ""A""",Esportiu Maristes Sant Joan,Nivell C,Dissabte,1,1,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,D7B57C2DEF,"CEBN (CHP Sant Josep Badalona) ""H""",CEBN (CHP Sant Josep Badalona),Nivell C,Dissabte,Indiferent,2,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,9BAB3DEC62,"CEBLL (CE Cornellà) ""A""",CEBLL (CE Cornellà),Nivell A,Dissabte,,3,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,11F46CFDF2,Club Esportiu Sagrerenc,Club Esportiu Sagrerenc,Nivell C,Dissabte,,4,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,8A222AB176,"CEBLL (Club Hoquei Prat) ""A""",CEBLL (Club Hoquei Prat),Nivell A,Dissabte,Indiferent,5,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,DBE3DB6F74,"CEVOS (Club Esportiu Hoquei Sabadell) ""A""",CEVOS (Club Esportiu Hoquei Sabadell),Nivell B,Divendres,Casa,6,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,D55C270443,"CEB (Club Patí Manresa) ""A""",CEB (Club Patí Manresa),Nivell A,Dissabte,Indiferent,7,[]
HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,G1,1C894548CA,"Club Hoquei Claret ""A""",Club Hoquei Claret,Nivell E,Dissabte,Indiferent,8,[]
